post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,images
3568898263175286,"Ankara Büyükşehir Belediyesi Gölbaşı barınağı.
Belediyeler ceza kapsamına alınmalıdır.!
Görevini kötüye kullanan veterinerler meslekten men edilmelidir.!","Ankara Büyükşehir Belediyesi Gölbaşı barınağı.
Belediyeler ceza kapsamına alınmalıdır.!
Görevini kötüye kullanan veterinerler meslekten men edilmelidir.!",,2020-10-19 07:56:13,https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121977080_3568892479842531_3917091897437936486_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=Z62cYI-xLiQAX_iQNzC&_nc_ht=scontent-mia3-2.xx&tp=14&oh=6e501887b2bb38246429b485fc629d45&oe=5FB458C8,,,,14,17,0,https://facebook.com/story.php?story_fbid=3568898263175286&id=1589717991093333,,1589717991093333,"['https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121977080_3568892479842531_3917091897437936486_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=Z62cYI-xLiQAX_iQNzC&_nc_ht=scontent-mia3-2.xx&tp=14&oh=6e501887b2bb38246429b485fc629d45&oe=5FB458C8', 'https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/122142008_3568892083175904_3147095127204677255_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=iCxjecQmkaQAX948M1Q&_nc_ht=scontent-mia3-2.xx&tp=14&oh=89141247f94265ee6aa6ac9bf37a202f&oe=5FB3D723']"
3567660576632388,"Sadece insanın değil, yuvasız kuşun, sahipsiz köpeğin, ağacın, çiçeğin, böceğin, hakkı hukuku için mücadeleyle geçti ömrü. Dağları, ovaları, ırmakları, denizleri ve insanı anlattı bıkmadan.
Güle güle güzel insan can Postal’ın babası.. #BekirCoşkun","Sadece insanın değil, yuvasız kuşun, sahipsiz köpeğin, ağacın, çiçeğin, böceğin, hakkı hukuku için mücadeleyle geçti ömrü. Dağları, ovaları, ırmakları, denizleri ve insanı anlattı bıkmadan.
Güle güle güzel insan can Postal’ın babası.. #BekirCoşkun",,2020-10-18 19:24:13,https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/122002280_3567659849965794_7949313199908320719_n.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=BPAzaYRff4IAX9y5c3v&_nc_ht=scontent-mia3-2.xx&oh=4d83c9b31f902d8b62fa089a6f82e448&oe=5FB1CF8B,,,,400,101,0,https://facebook.com/story.php?story_fbid=3567660576632388&id=1589717991093333,,1589717991093333,['https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/122002280_3567659849965794_7949313199908320719_n.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=BPAzaYRff4IAX9y5c3v&_nc_ht=scontent-mia3-2.xx&oh=4d83c9b31f902d8b62fa089a6f82e448&oe=5FB1CF8B']
3567640153301097,"Aramızdan ayrıldı. Ailesine baş sağlığı dileriz.
Doğa ve hayvan sevgisiyle tanınan Bekir Coşkun 4 Ekim Dünya Hayvan Hakları Günü'nde son kez okurlarıyla buluşmuştu.

SOZCU.COM.TR
Telef…","Aramızdan ayrıldı. Ailesine baş sağlığı dileriz.
Doğa ve hayvan sevgisiyle tanınan Bekir Coşkun 4 Ekim Dünya Hayvan Hakları Günü'nde son kez okurlarıyla buluşmuştu.","SOZCU.COM.TR
Telef…",2020-10-18 19:13:09,,,,,17,6,4,https://facebook.com/story.php?story_fbid=3567640153301097&id=1589717991093333,https://www.sozcu.com.tr/2020/yazarlar/bekir-coskun/telef-6065941/,1589717991093333,[]
3566734520058327,"Ege'de deprem.! 4.3
Gökçeada açıklarında meydana gelen deprem Çanakkale açıklarında hissedildi. Deprem yerin 5 buçuk kilometre derinliğinde gerçekleşti.","Ege'de deprem.! 4.3
Gökçeada açıklarında meydana gelen deprem Çanakkale açıklarında hissedildi. Deprem yerin 5 buçuk kilometre derinliğinde gerçekleşti.",,2020-10-18 12:21:38,https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/121829926_3566731456725300_1728327517339488173_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=iwM__YHgHXwAX9pfMjt&_nc_ht=scontent-mia3-2.xx&oh=e1654a783090f78cd0382c953d99ef13&oe=5FB1AD82,,,,17,0,0,https://facebook.com/story.php?story_fbid=3566734520058327&id=1589717991093333,,1589717991093333,['https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/121829926_3566731456725300_1728327517339488173_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=iwM__YHgHXwAX9pfMjt&_nc_ht=scontent-mia3-2.xx&oh=e1654a783090f78cd0382c953d99ef13&oe=5FB1AD82']
3566394463425666,"ANKARA İMRAHOR

Omer Akin
Yesterday at 10:08 AM · Instagram ·",ANKARA İMRAHOR,"Omer Akin
Yesterday at 10:08 AM · Instagram ·",2020-10-18 09:24:01,,https://video-mia3-2.xx.fbcdn.net/v/t42.9040-2/122065426_1167978310262600_8865243526463811237_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=ZPpz4OQqiz4AX-wlM50&_nc_ht=video-mia3-2.xx&oh=4de2126e191f18f340d23adba507e5b6&oe=5F8D7586,,757725508111608,10,29,21,https://facebook.com/story.php?story_fbid=3566394463425666&id=1589717991093333,https://www.instagram.com/p/CGedaZFFQ59/?igshid=pvxzew2mzpb5&utm_source=fb_msite_attr,1589717991093333,[]
3565081150223664,"İZMİR

Fadime Demirbağ posted in YUVASIZ CANLARIMIZ 😒 — with Yeşim Cansızoğlu and 33 others.
October 17 at 11:42 PM ·

Aslı Çelik is with Meyanko Derma and 34 others.
October 17 at 10:21 PM ·

İZMİR..daha yavruları emmeden sokağa atmış,REZİLLER!memeleri çok şiş ve acısı var.ACİL DURUMDA OLAN ANNESİZ BEBEK VARSA ALABİLİRİZ..0532 401 7024",İZMİR,"Fadime Demirbağ posted in YUVASIZ CANLARIMIZ 😒 — with Yeşim Cansızoğlu and 33 others.
October 17 at 11:42 PM ·

Aslı Çelik is with Meyanko Derma and 34 others.
October 17 at 10:21 PM ·

İZMİR..daha yavruları emmeden sokağa atmış,REZİLLER!memeleri çok şiş ve acısı var.ACİL DURUMDA OLAN ANNESİZ BEBEK VARSA ALABİLİRİZ..0532 401 7024",2020-10-17 21:26:16,,,,,5,3,9,https://facebook.com/story.php?story_fbid=3565081150223664&id=1589717991093333,,1589717991093333,[]
,"Aslı Çelik is with Meyanko Derma and 34 others.
October 17 at 10:21 PM ·

İZMİR..daha yavruları emmeden sokağa atmış,REZİLLER!memeleri çok şiş ve acısı var.ACİL DURUMDA OLAN ANNESİZ BEBEK VARSA ALABİLİRİZ..0532 401 7024",,"Aslı Çelik is with Meyanko Derma and 34 others.
October 17 at 10:21 PM ·

İZMİR..daha yavruları emmeden sokağa atmış,REZİLLER!memeleri çok şiş ve acısı var.ACİL DURUMDA OLAN ANNESİZ BEBEK VARSA ALABİLİRİZ..0532 401 7024",,,,,,0,0,0,https://facebook.com/story.php?story_fbid=4038018922883493&id=100000262764801,,,[]
3565003473564765,"ANKARA ÇUBUK

Hayvansever İzmir is in Çubuk, Ankara.
October 14 at 11:37 PM · Ankara Province, Turkey ·

Repost @unihaktoplulugu
Görüntüler (+18)
ÇUBUK ÇÖPLÜKTE KATLİAM VAR!

‼ÇUBUK BELEDİYESİNE SORUYORUZ‼

1. Kısırlaştırma çalışmaları yapılıyorsa neden bölgede yüzlerce kısır olmayan yetişkin dişi köpek mevcut?

2. Neden yüzlerce hasta (özellikle viral rahatsızlıklar) ve ölü yavru köpek mevcut?

3. Neden alanda daimî personel yok?

4. Neden alanda veteriner hekim göremiyoruz?

5. Tel örgülerle muhafaza edildiyse neden her isteyen içeriye rahatça girebiliyor?

6. Neden alanda ölü inek bedenleri mevcut?

7. İlçe içerisindeki şikayetlere karşılık neden bilinçlendirme, afiş çalışmaları yapılmıyor?

8. Neden alandaki mevcut yapılmış olan padoklar ve hizmet konteynırları pislik içerisinde duruyor?

9. Neden…",ANKARA ÇUBUK,"Hayvansever İzmir is in Çubuk, Ankara.
October 14 at 11:37 PM · Ankara Province, Turkey ·

Repost @unihaktoplulugu
Görüntüler (+18)
ÇUBUK ÇÖPLÜKTE KATLİAM VAR!

‼ÇUBUK BELEDİYESİNE SORUYORUZ‼

1. Kısırlaştırma çalışmaları yapılıyorsa neden bölgede yüzlerce kısır olmayan yetişkin dişi köpek mevcut?

2. Neden yüzlerce hasta (özellikle viral rahatsızlıklar) ve ölü yavru köpek mevcut?

3. Neden alanda daimî personel yok?

4. Neden alanda veteriner hekim göremiyoruz?

5. Tel örgülerle muhafaza edildiyse neden her isteyen içeriye rahatça girebiliyor?

6. Neden alanda ölü inek bedenleri mevcut?

7. İlçe içerisindeki şikayetlere karşılık neden bilinçlendirme, afiş çalışmaları yapılmıyor?

8. Neden alandaki mevcut yapılmış olan padoklar ve hizmet konteynırları pislik içerisinde duruyor?

9. Neden…",2020-10-17 20:48:14,https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121632414_3270653516315690_3416843416315271455_o.jpg?_nc_cat=105&_nc_sid=9e2e56&_nc_ohc=djuP8DWv8kQAX_v0HTX&_nc_ht=scontent-mia3-2.xx&tp=14&oh=fc3ffe2d4f56c2aa58573d75220d020b&oe=5FB456C2,,,,24,35,65,https://facebook.com/story.php?story_fbid=3565003473564765&id=1589717991093333,,1589717991093333,"['https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121632414_3270653516315690_3416843416315271455_o.jpg?_nc_cat=105&_nc_sid=9e2e56&_nc_ohc=djuP8DWv8kQAX_v0HTX&_nc_ht=scontent-mia3-2.xx&tp=14&oh=fc3ffe2d4f56c2aa58573d75220d020b&oe=5FB456C2', 'https://scontent-mia3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121589639_3270653629649012_7223345080553663435_o.jpg?_nc_cat=104&_nc_sid=9e2e56&_nc_ohc=Q2A3Zkqp4qkAX-6kP-M&_nc_ht=scontent-mia3-1.xx&tp=14&oh=8af2899c383ba5f0b1720f5826b1bc79&oe=5FB30D6C', 'https://scontent-mia3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121613900_3270653702982338_8343174071327895466_o.jpg?_nc_cat=105&_nc_sid=9e2e56&_nc_ohc=zgWMrayDPKYAX_gsnp1&_nc_ht=scontent-mia3-2.xx&tp=14&oh=a873ae1594c1cc3aeb3ec7399935dbf5&oe=5FB2B110', 'https://scontent-mia3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121580931_3270653799648995_1305265656287267051_o.jpg?_nc_cat=111&_nc_sid=9e2e56&_nc_ohc=1iU7XHxl7M0AX-yxZzC&_nc_ht=scontent-mia3-1.xx&tp=14&oh=9958eac79798b9e3a199239e616f3dad&oe=5FB1F118']"
3564971406901305,KUŞADASI BELEDİYESİ BARINAK,KUŞADASI BELEDİYESİ BARINAK,,2020-10-17 20:33:36,,https://video-mia3-2.xx.fbcdn.net/v/t42.9040-2/121645105_375122733622995_4010332093649007296_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=u3iVYzwprm0AX865oPL&_nc_ht=video-mia3-2.xx&oh=379a0a3a39cd8a934a2c830b5dfd296b&oe=5F8D6E7C,,344083240249529,7,7,0,https://facebook.com/watch?v=344083240249529,,1589717991093333,[]
3564898380241941,"MALATYA DOĞANŞEHİR

Malatya Doğa Ve Hayvanlar için El Ele Derneği.
October 13 at 5:47 PM ·",MALATYA DOĞANŞEHİR,"Malatya Doğa Ve Hayvanlar için El Ele Derneği.
October 13 at 5:47 PM ·",2020-10-17 19:58:07,,https://video-mia3-2.xx.fbcdn.net/v/t42.9040-2/121576642_677185559845996_4567144616588605860_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=6I9EYBCXwfoAX8grRyS&_nc_ht=video-mia3-2.xx&oh=1a0226cd62cf9846bdadf38dce5811fa&oe=5F8D73A9,,796462900914980,6,6,6,https://facebook.com/story.php?story_fbid=3564898380241941&id=1589717991093333,,1589717991093333,[]
